Num   y   M   d   h   min   s   ms      T_raw   T_C   Hum_raw   Hum_% 
320   2022   12   20   10   4   6   700      6188   22.18   1473   48.52


321   2022   12   20   10   4   7   101      6188   22.18   1472   48.49


322   2022   12   20   10   4   7   501      6188   22.18   1473   48.52


323   2022   12   20   10   4   7   902      6188   22.18   1472   48.49


324   2022   12   20   10   4   8   303      6188   22.18   1473   48.52


325   2022   12   20   10   4   8   704      6187   22.17   1472   48.49


326   2022   12   20   10   4   9   105      6188   22.18   1473   48.52


327   2022   12   20   10   4   9   506      6188   22.18   1472   48.49


328   2022   12   20   10   4   9   906      6188   22.18   1472   48.49


329   2022   12   20   10   4   10   308      6188   22.18   1472   48.49


330   2022   12   20   10   4   10   709      6188   22.18   1472   48.49


331   2022   12   20   10   4   11   110      6188   22.18   1473   48.52


332   2022   12   20   10   4   11   111      6188   22.18   1472   48.49


333   2022   12   20   10   4   11   512      6188   22.18   1472   48.49


334   2022   12   20   10   4   11   913      6187   22.17   1472   48.49


335   2022   12   20   10   4   12   314      6186   22.16   1472   48.49


336   2022   12   20   10   4   12   715      6187   22.17   1472   48.49


337   2022   12   20   10   4   13   117      6187   22.17   1472   48.49


338   2022   12   20   10   4   13   518      6186   22.16   1472   48.49


339   2022   12   20   10   4   13   919      6187   22.17   1472   48.49


340   2022   12   20   10   4   14   320      6186   22.16   1473   48.52


341   2022   12   20   10   4   14   721      6186   22.16   1473   48.52


342   2022   12   20   10   4   15   123      6186   22.16   1473   48.52


343   2022   12   20   10   4   15   524      6186   22.16   1473   48.52


344   2022   12   20   10   4   15   925      6186   22.16   1473   48.52


345   2022   12   20   10   4   16   326      6187   22.17   1473   48.52


346   2022   12   20   10   4   16   726      6187   22.17   1474   48.55


347   2022   12   20   10   4   16   727      6187   22.17   1473   48.52


348   2022   12   20   10   4   17   127      6187   22.17   1474   48.55


349   2022   12   20   10   4   17   528      6187   22.17   1474   48.55


350   2022   12   20   10   4   17   930      6188   22.18   1473   48.52


351   2022   12   20   10   4   18   331      6186   22.16   1473   48.52


352   2022   12   20   10   4   18   731      6186   22.16   1474   48.55


353   2022   12   20   10   4   19   132      6188   22.18   1474   48.55


354   2022   12   20   10   4   19   533      6188   22.18   1474   48.55


355   2022   12   20   10   4   19   934      6188   22.18   1473   48.52


356   2022   12   20   10   4   20   335      6188   22.18   1474   48.55


357   2022   12   20   10   4   20   736      6189   22.19   1474   48.55


358   2022   12   20   10   4   21   137      6188   22.18   1474   48.55


359   2022   12   20   10   4   21   538      6188   22.18   1474   48.55


360   2022   12   20   10   4   21   939      6187   22.17   1474   48.55


361   2022   12   20   10   4   22   340      6188   22.18   1474   48.55


362   2022   12   20   10   4   22   340      6188   22.18   1474   48.55


363   2022   12   20   10   4   22   741      6187   22.17   1474   48.55


364   2022   12   20   10   4   23   142      6187   22.17   1474   48.55


365   2022   12   20   10   4   23   543      6188   22.18   1474   48.55


366   2022   12   20   10   4   23   944      6187   22.17   1474   48.55


367   2022   12   20   10   4   24   345      6188   22.18   1475   48.59


368   2022   12   20   10   4   24   746      6188   22.18   1474   48.55


369   2022   12   20   10   4   25   146      6187   22.17   1474   48.55


370   2022   12   20   10   4   25   547      6186   22.16   1475   48.59


371   2022   12   20   10   4   25   948      6188   22.18   1474   48.55


372   2022   12   20   10   4   26   349      6187   22.17   1475   48.59


373   2022   12   20   10   4   26   750      6187   22.17   1474   48.55


374   2022   12   20   10   4   27   151      6186   22.16   1474   48.55


375   2022   12   20   10   4   27   552      6187   22.17   1474   48.55


376   2022   12   20   10   4   27   953      6187   22.17   1475   48.59


377   2022   12   20   10   4   28   354      6187   22.17   1474   48.55


378   2022   12   20   10   4   28   354      6188   22.18   1474   48.55


379   2022   12   20   10   4   28   755      6186   22.16   1475   48.59


380   2022   12   20   10   4   29   156      6187   22.17   1475   48.59


381   2022   12   20   10   4   29   557      6186   22.16   1475   48.59


382   2022   12   20   10   4   29   958      6186   22.16   1475   48.59


383   2022   12   20   10   4   30   359      6187   22.17   1475   48.59


384   2022   12   20   10   4   30   760      6186   22.16   1475   48.59


385   2022   12   20   10   4   31   160      6188   22.18   1475   48.59


386   2022   12   20   10   4   31   561      6187   22.17   1475   48.59


387   2022   12   20   10   4   31   962      6187   22.17   1475   48.59


388   2022   12   20   10   4   32   363      6186   22.16   1475   48.59


389   2022   12   20   10   4   32   764      6188   22.18   1475   48.59


390   2022   12   20   10   4   33   165      6186   22.16   1476   48.62


391   2022   12   20   10   4   33   566      6188   22.18   1475   48.59


392   2022   12   20   10   4   33   968      6186   22.16   1475   48.59


393   2022   12   20   10   4   33   968      6186   22.16   1475   48.59


394   2022   12   20   10   4   34   369      6187   22.17   1476   48.62


395   2022   12   20   10   4   34   770      6188   22.18   1475   48.59


396   2022   12   20   10   4   35   171      6187   22.17   1475   48.59


397   2022   12   20   10   4   35   572      6186   22.16   1476   48.62


398   2022   12   20   10   4   35   973      6186   22.16   1475   48.59


399   2022   12   20   10   4   36   374      6186   22.16   1475   48.59


400   2022   12   20   10   4   36   775      6186   22.16   1475   48.59


401   2022   12   20   10   4   37   176      6186   22.16   1476   48.62


402   2022   12   20   10   4   37   577      6186   22.16   1476   48.62


403   2022   12   20   10   4   37   978      6186   22.16   1475   48.59


404   2022   12   20   10   4   38   380      6186   22.16   1475   48.59


405   2022   12   20   10   4   38   781      6186   22.16   1475   48.59


406   2022   12   20   10   4   39   182      6186   22.16   1476   48.62


407   2022   12   20   10   4   39   583      6186   22.16   1475   48.59


408   2022   12   20   10   4   39   583      6186   22.16   1476   48.62


409   2022   12   20   10   4   39   985      6186   22.16   1476   48.62


410   2022   12   20   10   4   40   386      6186   22.16   1476   48.62


411   2022   12   20   10   4   40   787      6186   22.16   1476   48.62


412   2022   12   20   10   4   41   188      6186   22.16   1476   48.62


413   2022   12   20   10   4   41   589      6186   22.16   1476   48.62


414   2022   12   20   10   4   41   990      6187   22.17   1476   48.62


415   2022   12   20   10   4   42   391      6186   22.16   1476   48.62


416   2022   12   20   10   4   42   793      6185   22.15   1476   48.62


